Indicador;Métrica Bruta;Tipo;Score/Baseline
Total Viagens (ED2.3);264071.0;Métrica Bruta (Qtd/Valor);
Total Emissões (KgCO2eq, ED1.1);180565923.42303422;Métrica Bruta (Qtd/Valor);
Total Custo (R$);1244578232.3599997;Métrica Bruta (Qtd/Valor);
Viagens Evitáveis (Qtd, <= 600km);37044.0;Métrica Bruta (Qtd/Valor);
Viagens Urgentes S/ Just. (DF1.5 Qtd);75.0;Métrica Bruta (Qtd/Valor);
ED2.3 (Total Viagens);;Score/Baseline;264071.0
DF1.5 (Proporção);;Score/Baseline;0.0002840145263963101
DF1.5 (Score);;Score/Baseline;0.9997159854736037
ED1.1 (Baseline);;Score/Baseline;285440.3231330991
ED1.1 (Variação %);;Score/Baseline;631.587300354328
ED1.1 (Score);;Score/Baseline;0.0
ED2.1 (Baseline);;Score/Baseline;1610128.7746285002
ED2.1 (Variação %);;Score/Baseline;771.9681327179295
ED2.1 (Score);;Score/Baseline;0.0
